001ç1234567891234çDiegoç50000
001ç3245678865434çRenatoç40000.99
002ç2345675434544345çJosedaSilvaçRural
002ç2345675433444345çEduardoPereiraçRural
003ç08ç[1-34-10,2-3300-1.50,3-400-0.10]çRenato
003ç10ç[1-10-100,2-30-2.50,3-40-3.10]çDiego
003ç11ç[1-10-100,2-30-2.50,3-40-3.10]çDiego
003ç12ç[1-10-100,2-3000000-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç12ç[1-10-100,2-30-2.550,3-40-3.1]çFagundes
003ç13ç[1-10-100,2-340-2.50,3-40-3.10]çDiego
003ç14ç[1-10-100,2-30-2.50,3-40-3.10]çDiego

